Name EN,Name HU,Name RO,Date,Value
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2009-12,103.4
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2010-03,90.8
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2010-06,101.3
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2010-09,94.6
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2010-12,104.5
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2011-03,102.6
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2011-06,102
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2011-09,99.9
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2011-12,97.5
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2012-03,104.7
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2012-06,100.5
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2012-09,97.8
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2012-12,98.7
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2013-03,100.3
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2013-06,101.5
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2013-09,101.8
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2013-12,100.4
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2014-03,100.9
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2014-06,99.8
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2014-09,103.2
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2014-12,100.6
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2015-03,99.7
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2015-06,101.6
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2015-09,99.4
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2015-12,100.5
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2016-03,101.6
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2016-06,100.5
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2016-09,101
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2016-12,99.4
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2017-03,105.4
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2017-06,102.3
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2017-09,101.9
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2017-12,99.8
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2018-03,100.8
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2018-06,102.3
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2018-09,102
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2018-12,99.7
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2019-03,100
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2019-06,102.5
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2019-09,100.1
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2019-12,102
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2020-03,97.7
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2020-06,91.9
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2020-09,103.8
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2020-12,104.7
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2021-03,102
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2021-06,99.8
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2021-09,100.3
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2021-12,100
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2022-03,102.1
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2022-06,100.8
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2022-09,100.4
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2022-12,101.6
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2023-03,97.8
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2023-06,102.1
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2023-09,101.9
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2023-12,100.1
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2024-03,99
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2024-06,99.9
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2024-09,99.1
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2024-12,100.6
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2025-03,100.6
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2025-06,100.6
Total gross value added,Teljes bruttó hozzáadott érték,Valoarea adăugată brută totală,2025-09,100
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1995-06,105.3
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1995-09,85.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1995-12,87.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1996-03,135.4
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1996-06,79.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1996-09,101.4
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1996-12,98.9
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1997-03,112.7
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1997-06,92
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1997-09,94
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1997-12,115.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1998-03,75.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1998-06,104.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1998-09,117.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1998-12,98.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1999-03,90.4
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1999-06,101.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1999-09,108.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,1999-12,100.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2000-03,92.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2000-06,90.4
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2000-09,84.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2000-12,103
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2001-03,118.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2001-06,116.7
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2001-09,112.6
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2001-12,97.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2002-03,82.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2002-06,112.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2002-09,93.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2002-12,101.9
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2003-03,95.6
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2003-06,114.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2003-09,95.7
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2003-12,103
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2004-03,98.9
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2004-06,108.7
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2004-09,115.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2004-12,102.7
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2005-03,76.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2005-06,96.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2005-09,96.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2005-12,104.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2006-03,114.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2006-06,93.3
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2006-09,93.9
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2006-12,90.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2007-03,100.3
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2007-06,86.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2007-09,81.7
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2007-12,106.6
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2008-03,140.4
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2008-06,89.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2008-09,116.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2008-12,90.6
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2009-03,91.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2009-06,110.6
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2009-09,98.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2009-12,109.4
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2010-03,79.9
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2010-06,105.3
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2010-09,89.3
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2010-12,101.3
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2011-03,120.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2011-06,102.9
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2011-09,97.6
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2011-12,98.3
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2012-03,81.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2012-06,94.3
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2012-09,100
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2012-12,98.3
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2013-03,128.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2013-06,110.7
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2013-09,98.9
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2013-12,98.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2014-03,98.7
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2014-06,98.4
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2014-09,112.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2014-12,113.6
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2015-03,86.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2015-06,84.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2015-09,94.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2015-12,121.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2016-03,98.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2016-06,108.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2016-09,85.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2016-12,91.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2017-03,123.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2017-06,106.6
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2017-09,108.4
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2017-12,81
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2018-03,119.6
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2018-06,104.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2018-09,103.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2018-12,90.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2019-03,99.2
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2019-06,111.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2019-09,99.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2019-12,90
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2020-03,100.9
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2020-06,85.7
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2020-09,83.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2020-12,136.7
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2021-03,103.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2021-06,98.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2021-09,106.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2021-12,98.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2022-03,86.4
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2022-06,99.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2022-09,98
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2022-12,96.5
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2023-03,110.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2023-06,90
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2023-09,130.7
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2023-12,85.9
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2024-03,99.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2024-06,100.1
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2024-09,88.9
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2024-12,107.4
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2025-03,101.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2025-06,97.8
Agriculture; forestry and fishing,Mezőgazdaság; erdőgazdálkodás és halászat,Agricultură; silvicultură și pescuit,2025-09,100.1
Mining and Quarrying; manufacturing; electricity; gas; steam and air conditioning production and supply; water supply; sewerage; waste management and decontamination activities,Bányászat és kőfejtés; feldolgozóipar; villamosenergia-; gáz-; gőz- és légkondicionálás-termelés és -ellátás; vízellátás; szennyvízkezelés; hulladékgazdálkodás és szennyezésmentesítés,Exploatare minieră și cariere; industrie prelucrătoare; producția și furnizarea de energie electrică; gaze; abur și aer condiționat; alimentare cu apă; canalizare; gestionarea deșeurilor și activități de decontaminare,1995-06,98.7
